occurred_on_date,case_count,D_A1,D_A15,D_A7,D_B2,D_B3,D_C11,D_C6,D_D14,D_D4,D_E13,D_E18,D_E5,D_External,day_1,day_2,day_3,day_4,day_5,day_6,day_7
735905,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
735905,14,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
735905,47,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
735905,35,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
735905,49,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
735905,20,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
735905,19,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
735905,35,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
735905,11,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
735905,14,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
735905,12,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
735906,40,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
735906,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
735906,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
735906,46,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
735906,26,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
735906,33,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
735906,21,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
735906,10,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
735906,47,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
735906,12,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
735906,14,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
735906,9,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
735907,20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
735907,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
735907,18,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
735907,46,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
735907,22,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
735907,32,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
735907,19,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
735907,10,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
735907,35,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
735907,19,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
735907,12,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
735907,8,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
735908,28,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
735908,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
735908,19,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
735908,43,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
735908,25,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
735908,36,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
735908,26,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
735908,18,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
735908,39,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
735908,14,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
